3745487360.80280	1.000	0.0000000006	1786511835.64091
3745487360.90080	1.000	0.0000000005	1823320266.20476	
3745487360.90757	1.000	0.0000000005	1856837805.21771	
3745487360.91346	1.000	0.0000000005	1888217522.65861	
3745487360.91953	1.000	0.0000000005	1914425193.83555	
3745487360.92643	1.000	0.0000000005	1941747572.81553	
3745487360.93250	1.000	0.0000000005	1974918534.61045	
3745487360.93939	1.000	0.0000000005	2004208838.56098	
3745487360.94667	1.000	0.0000000005	2029838627.82909	
3745487360.95436	1.000	0.0000000005	2057824879.10279	
3745487360.96162	1.000	0.0000000005	2082682495.05363	
3745487360.97031	1.000	0.0000000005	2112155454.64146	
3745487360.97629	1.000	0.0000000005	2142015636.71415	
3745487360.98327	1.000	0.0000000005	2158894645.94128	
3745487360.98843	1.000	0.0000000005	2181976871.04517	
3745487360.99426	1.000	0.0000000005	2207018318.25204	
3745487361.00122	1.000	0.0000000005	2220495170.42300	
3745487361.00724	1.000	0.0000000004	2231893761.85694	
3745487361.01419	1.000	0.0000000004	2259121201.85248	
3745487361.01933	1.000	0.0000000004	2295157218.26945	
3745487361.02616	1.000	0.0000000004	2319647413.59313	
3745487361.03214	1.000	0.0000000004	2342743352.46574	
3745487361.03813	1.000	0.0000000004	2361275088.54782	
3745487361.04311	1.000	0.0000000004	2389771776.79532	
3745487361.04924	1.000	0.0000000004	2405291641.61155	
3745487361.05408	1.000	0.0000000004	2425712553.06246	
3745487361.06009	1.000	0.0000000004	2441406250.00000	
3745487361.06608	1.000	0.0000000004	2467308166.79003	
3745487361.07204	1.000	0.0000000004	2498126405.19610	
3745487361.07802	1.000	0.0000000004	2515723270.44025	
3745487361.08501	1.000	0.0000000004	2531325148.71535	
3745487361.09098	1.000	0.0000000004	2553626149.13177	
3745487361.09697	1.000	0.0000000004	2580645161.29032	
3745487361.10304	1.000	0.0000000004	2603488674.82426	
3745487361.11004	1.000	0.0000000004	2625705658.39569	
3745487361.11704	1.000	0.0000000004	2641658961.82803	
3745487361.12399	1.000	0.0000000004	2670226969.29239	
3745487361.13013	1.000	0.0000000004	2692877339.43719	
3745487361.13702	1.000	0.0000000004	2722570106.18023	
3745487361.14414	1.000	0.0000000004	2727024815.92583	
3745487361.15119	1.000	0.0000000004	2732987154.96037	
3745487361.15780	1.000	0.0000000004	2774694783.57381	
3745487361.16679	1.000	0.0000000004	2787456445.99303	
3745487361.17277	1.000	0.0000000004	2810962754.74350	
3745487361.17890	1.000	0.0000000004	2830856334.04105	
3745487361.18489	1.000	0.0000000003	2874389192.29664	
3745487361.19072	1.000	0.0000000003	2876456205.95426	
3745487361.19686	1.000	0.0000000003	2911208151.38282	
3745487361.20284	1.000	0.0000000003	2930402930.40293	
3745487361.20982	1.000	0.0000000003	2963401985.47933	
3745487361.21580	1.000	0.0000000003	2960769800.14804	
3745487361.22179	1.000	0.0000000003	2977963073.25789	
3745487361.22777	1.000	0.0000000003	3017501508.75075	
3745487361.23360	1.000	0.0000000003	3031221582.29767	
3745487361.23976	1.000	0.0000000003	3067014261.61632	
3745487361.24574	1.000	0.0000000003	3094538140.18258	
3745487361.25172	1.000	0.0000000003	3111871790.88222	
3745487361.25754	1.000	0.0000000003	3141196795.97927	
3745487361.26369	1.000	0.0000000003	3136762860.72773	
3745487361.26955	1.000	0.0000000003	3096934035.30505	
3745487361.27566	1.000	0.0000000003	3143665513.98931	
3745487361.28164	1.000	0.0000000003	3189792663.47687	
3745487361.28763	1.000	0.0000000003	3214400514.30408	
3745487361.29361	1.000	0.0000000003	3191319610.65901	
3745487361.29959	1.000	0.0000000003	3189792663.47687	
3745487361.30558	1.000	0.0000000003	3249918752.03120	
3745487361.31157	1.000	0.0000000003	3290014805.06662	
3745487361.31755	1.000	0.0000000003	3273858241.93812	
3745487361.32353	1.000	0.0000000003	3347280334.72803	
3745487361.33134	1.000	0.0000000003	3365303718.66061	
3745487361.33761	1.000	0.0000000003	3390405153.41583	
3745487361.34531	1.000	0.0000000003	3400782179.90138	
3745487361.35147	1.000	0.0000000003	3428179636.61296	
3745487361.35829	1.000	0.0000000003	3435835767.05033	
3745487361.36425	1.000	0.0000000003	3460806367.88372	
3745487361.37024	1.000	0.0000000003	3497114880.22382	
3745487361.37622	1.000	0.0000000003	3510619624.36370	
3745487361.38138	1.000	0.0000000003	3532944709.41530	
3745487361.38819	1.000	0.0000000003	3550505947.09746	
3745487361.39417	1.000	0.0000000003	3571428571.42857	
3745487361.40016	1.000	0.0000000003	3592599245.55416	
3745487361.40614	1.000	0.0000000003	3638348189.92178	
3745487361.41213	1.000	0.0000000003	3606853020.73940	
3745487361.41811	1.000	0.0000000003	3617945007.23589	
3745487361.42409	1.000	0.0000000003	3675794890.64510	
3745487361.43008	1.000	0.0000000003	3661662394.72721	
3745487361.43607	1.000	0.0000000003	3671745915.18267	
3745487361.44205	1.000	0.0000000003	3698224852.07101	
3745487361.44803	1.000	0.0000000003	3774297037.17683	
3745487361.45401	1.000	0.0000000003	3740415186.08566	
3745487361.46000	1.000	0.0000000003	3739715781.60060	
3745487361.46599	1.000	0.0000000003	3776435045.31722	
3745487361.47199	1.000	0.0000000003	3823360734.08526	
3745487361.47800	1.000	0.0000000003	3850596842.51059	
3745487361.48397	1.000	0.0000000003	3878975950.34911	
3745487361.49000	1.000	0.0000000003	3875217981.01143	
3745487361.49713	1.000	0.0000000003	3896356906.29262	
3745487361.50418	1.000	0.0000000003	3923876790.26879	
3745487361.51086	1.000	0.0000000003	3933910306.84500	
3745487361.51695	1.000	0.0000000003	3938558487.59354	
3745487361.52295	1.000	0.0000000003	3921568627.45098	
3745487361.52996	1.000	0.0000000003	3955696202.53165	
3745487361.53595	1.000	0.0000000002	4001600640.25610	
3745487361.54178	1.000	0.0000000002	4040404040.40404	
3745487361.54792	1.000	0.0000000002	4029820672.98005	
3745487361.55390	1.000	0.0000000002	4043671653.86171	
3745487361.55988	1.000	0.0000000002	4055972419.38755	
3745487361.56587	1.000	0.0000000002	4105933073.29091	
3745487361.57185	1.000	0.0000000002	4129671691.10056	
3745487361.57784	1.000	0.0000000002	4139929621.19644	
3745487361.58382	1.000	0.0000000002	4151961801.95142	
3745487361.58980	1.000	0.0000000002	4154549231.40839	
3745487361.59579	1.000	0.0000000002	4176237210.27354	
3745487361.60177	1.000	0.0000000002	4189359028.06871	
3745487361.60760	1.000	0.0000000002	4243581582.85593	
3745487361.61359	1.000	0.0000000002	4293688278.23100	
3745487361.61973	1.000	0.0000000002	4267121826.32814	
3745487361.62571	1.000	0.0000000002	4270766602.60517	
3745487361.63169	1.000	0.0000000002	4286326618.08830	
3745487361.63768	1.000	0.0000000002	4292766688.13050	
3745487361.64366	1.000	0.0000000002	4303851947.49301	
3745487361.64964	1.000	0.0000000002	4359197907.58500	
3745487361.65563	1.000	0.0000000002	4420866489.83201	
3745487361.66161	1.000	0.0000000002	4433606739.08224	
3745487361.66760	1.000	0.0000000002	4413062665.48985	
3745487361.67358	1.000	0.0000000002	4388852315.11960	
3745487361.67944	1.000	0.0000000002	4381161007.66703	
3745487361.68556	1.000	0.0000000002	4442470013.32741	
3745487361.69238	1.000	0.0000000002	4490345756.62326	
3745487361.69836	1.000	0.0000000002	4494382022.47191	
3745487361.70335	1.000	0.0000000002	4551661356.39508	
3745487361.71033	1.000	0.0000000002	4557885141.29444	
3745487361.71631	1.000	0.0000000002	4521817770.74384	
3745487361.72230	1.000	0.0000000002	4503490204.90880	
3745487361.72828	1.000	0.0000000002	4539264639.12846	
3745487361.73426	1.000	0.0000000002	4644681839.29401	
3745487361.73925	1.000	0.0000000002	4626416840.15730	
3745487361.74623	1.000	0.0000000002	4637143519.59193	
3745487361.75144	1.000	0.0000000002	4633920296.57090	
3745487361.75743	1.000	0.0000000002	4659832246.03914	
3745487361.76359	1.000	0.0000000002	4665267086.54070	
3745487361.76957	1.000	0.0000000002	4699248120.30075	
3745487361.77556	1.000	0.0000000002	4757373929.59087	
3745487361.78157	1.000	0.0000000002	4775549188.15664	
